CodigoTerritorial,Departamento,Provincia,Municipio,CodigoRecinto,RecintoNombre,RecintoDireccion,NumMesas,CodigoActa,NroMesa,VotantesHabilitados,PapeletasAnfora,PapeltasNoUtilizadas,P1,P2,P3,P4,VotosValidos,VotosBlancos,VotosNulos,Observaciones,,AperturaHora,AperturaMinutos,CierreHora,CierreMinutos
10103,Chuquisaca,Oropeza,Poroma,1010300011,Escuela Gualberto Villarroel,Arani,16,1010300011011,11,693,600,93,21,94,129,306,550,16,34,Mesa en lugar distinto: Funcionamiento de la mesa de sufragio en un recinto diferente al autorizado por la autoridad electoral.,,8,0,16,53
10103,Chuquisaca,Oropeza,Poroma,1010300011,Escuela Gualberto Villarroel,Arani,16,1010300011012,12,952,819,133,229,84,149,324,786,31,2,,2030100591001 - 2030100591011 2 x 9,8,0,16,9
10103,Chuquisaca,Oropeza,Poroma,1010300011,Escuela Gualberto Villarroel,Arani,16,1010300011013,13,404,351,53,14,65,70,184,333,12,6,,,8,2,16,5
10103,Chuquisaca,Oropeza,Poroma,1010300011,Escuela Gualberto Villarroel,Arani,16,1010300011014,14,10,9,1,1,1,0,6,8,1,0,,,8,0,16,15
10103,Chuquisaca,Oropeza,Poroma,1010300011,Escuela Gualberto Villarroel,Arani,16,1010300011015,15,202,166,36,13,41,2,71,127,28,11,,,8,1,16,17
10103,Chuquisaca,Oropeza,Poroma,1010300011,Escuela Gualberto Villarroel,Arani,16,1010300011016,16,413,411,2,28,10,9,356,403,1,7,,,8,1,16,33
10103,Chuquisaca,Oropeza,Poroma,1010300027,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14,1010300027001,1,144,118,26,3,21,14,47,85,20,13,,,8,3,16,16
10103,Chuquisaca,Oropeza,Poroma,1010300027,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14,1010300027002,2,162,135,27,34,3,6,90,133,2,0,,,8,2,16,1
10103,Chuquisaca,Oropeza,Poroma,1010300027,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14,1010300027003,3,805,697,108,141,164,34,171,510,111,76,,,8,2,16,23
10103,Chuquisaca,Oropeza,Poroma,1010300027,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14,1010300027004,4,940,908,32,41,75,89,600,805,94,9,,,8,0,16,44
10103,Chuquisaca,Oropeza,Poroma,1010300027,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14,1010300027005,5,60,48,12,1,12,1,33,47,1,0,,,8,3,16,30
10103,Chuquisaca,Oropeza,Poroma,1010300027,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14,1010300027006,6,588,485,103,86,25,89,190,390,86,9,,,8,2,16,58
10103,Chuquisaca,Oropeza,Poroma,1010300027,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14,1010300027007,7,569,569,0,79,29,96,256,460,57,52,,,8,4,16,26
10103,Chuquisaca,Oropeza,Poroma,1010300027,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14,1010300027008,8,460,411,49,88,63,77,94,322,56,33,,,8,4,16,49
10103,Chuquisaca,Oropeza,Poroma,1010300027,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14,1010300027009,9,806,785,21,7,122,72,474,675,40,70,,,8,4,16,2
10103,Chuquisaca,Oropeza,Poroma,1010300027,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14,1010300027010,10,479,446,33,60,55,64,223,402,19,25,,,8,3,16,58
10103,Chuquisaca,Oropeza,Poroma,1010300027,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14,1010300027011,11,409,407,2,99,67,44,154,364,10,33,,,8,3,16,4
10103,Chuquisaca,Oropeza,Poroma,1010300027,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14,1010300027012,12,252,235,17,5,63,14,129,211,13,11,,,8,2,16,10
10103,Chuquisaca,Oropeza,Poroma,1010300027,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14,1010300027013,13,593,513,80,30,52,38,272,392,90,31,,,8,1,16,27
10103,Chuquisaca,Oropeza,Poroma,1010300027,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14,1010300027014,14,776,696,80,44,44,46,539,673,15,8,,,8,2,16,37
10201,Chuquisaca,Azurduy,Azurduy,1020100041,U.E. Patria Nueva,Zona Sud Barrio 1ro. De Mayo OTB El Palmar,4,1020100041001,1,762,735,27,113,146,126,297,682,24,29,,,8,3,16,3
10201,Chuquisaca,Azurduy,Azurduy,1020100041,U.E. Patria Nueva,Zona Sud Barrio 1ro. De Mayo OTB El Palmar,4,1020100041002,2,987,907,80,238,268,7,285,798,44,65,,,8,0,16,2
10201,Chuquisaca,Azurduy,Azurduy,1020100041,U.E. Patria Nueva,Zona Sud Barrio 1ro. De Mayo OTB El Palmar,4,1020100041003,3,677,544,133,132,83,69,140,424,95,25,,,8,4,16,10
10201,Chuquisaca,Azurduy,Azurduy,1020100041,U.E. Patria Nueva,Zona Sud Barrio 1ro. De Mayo OTB El Palmar,4,1020100041004,4,34,29,5,4,1,4,14,23,4,2,,,8,0,16,29
10201,Chuquisaca,Azurduy,Azurduy,1020100045,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17,1020100045001,1,423,362,61,5,58,11,238,312,37,13,,,8,1,16,23
10201,Chuquisaca,Azurduy,Azurduy,1020100045,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17,1020100045002,2,7,7,0,0,1,0,6,7,0,0,,,8,4,16,5
10201,Chuquisaca,Azurduy,Azurduy,1020100045,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17,1020100045003,3,121,114,7,17,15,16,43,91,18,5,,,8,4,16,18
10201,Chuquisaca,Azurduy,Azurduy,1020100045,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17,1020100045004,4,262,255,7,56,21,31,120,228,18,9,,,8,0,16,49
10201,Chuquisaca,Azurduy,Azurduy,1020100045,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17,1020100045005,5,356,294,62,2,3,33,192,230,51,13,,,8,1,16,59
10201,Chuquisaca,Azurduy,Azurduy,1020100045,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17,1020100045006,6,190,186,4,2,21,41,105,169,0,17,,,8,0,16,59
10201,Chuquisaca,Azurduy,Azurduy,1020100045,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17,1020100045007,7,684,606,78,143,97,88,164,492,48,66,,,8,1,16,29
10201,Chuquisaca,Azurduy,Azurduy,1020100045,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17,1020100045008,8,722,601,121,32,8,23,463,526,15,60,,,8,3,16,22
10201,Chuquisaca,Azurduy,Azurduy,1020100045,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17,1020100045009,9,382,350,32,82,64,77,94,317,13,20,,,8,3,16,3
10201,Chuquisaca,Azurduy,Azurduy,1020100045,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17,1020100045010,10,933,903,30,185,216,83,371,855,11,37,,,8,2,16,2
10201,Chuquisaca,Azurduy,Azurduy,1020100045,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17,1020100045011,11,70,55,15,7,15,11,13,46,7,2,,,8,2,16,16
10201,Chuquisaca,Azurduy,Azurduy,1020100045,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17,1020100045012,12,368,306,62,35,74,31,124,264,31,11,,,8,1,16,10
10201,Chuquisaca,Azurduy,Azurduy,1020100045,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17,1020100045013,13,338,320,18,67,61,3,135,266,44,10,,,8,2,16,39
10201,Chuquisaca,Azurduy,Azurduy,1020100045,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17,1020100045014,14,760,636,124,110,155,48,259,572,59,5,,,8,1,16,22
10201,Chuquisaca,Azurduy,Azurduy,1020100045,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17,1020100045015,15,62,53,9,2,11,6,30,49,0,4,,,8,4,16,6
10201,Chuquisaca,Azurduy,Azurduy,1020100045,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17,1020100045016,16,214,175,39,26,20,21,70,137,26,12,,,8,4,16,38
10201,Chuquisaca,Azurduy,Azurduy,1020100045,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17,1020100045017,17,79,74,5,9,19,9,20,57,11,6,,,8,0,16,59
10201,Chuquisaca,Azurduy,Azurduy,1020100062,U.E. Pedro Domingo Murillo,Chiuchi Arriba,5,1020100062001,1,92,77,15,3,18,2,38,61,10,6,,,8,1,16,12
10201,Chuquisaca,Azurduy,Azurduy,1020100062,U.E. Pedro Domingo Murillo,Chiuchi Arriba,5,1020100062002,2,893,871,22,0,149,2,585,736,105,30,,,8,0,16,3
10201,Chuquisaca,Azurduy,Azurduy,1020100062,U.E. Pedro Domingo Murillo,Chiuchi Arriba,5,1020100062003,3,539,472,67,6,122,108,210,446,16,10,,,8,3,16,20
10201,Chuquisaca,Azurduy,Azurduy,1020100062,U.E. Pedro Domingo Murillo,Chiuchi Arriba,5,1020100062004,4,131,127,4,30,3,7,80,120,2,5,,,8,0,16,7
10201,Chuquisaca,Azurduy,Azurduy,1020100062,U.E. Pedro Domingo Murillo,Chiuchi Arriba,5,1020100062005,5,528,446,82,69,106,11,155,341,62,43,,,8,2,16,18
10301,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067,Unidad Educativa Molinero,Molinero,14,1030100067001,1,587,502,85,123,146,32,161,462,31,9,,,8,2,16,31
10301,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067,Unidad Educativa Molinero,Molinero,14,1030100067002,2,927,895,32,81,72,178,403,734,81,80,,,8,0,16,6
10301,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067,Unidad Educativa Molinero,Molinero,14,1030100067003,3,144,133,11,31,3,4,63,101,21,11,,,8,3,16,8
10301,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067,Unidad Educativa Molinero,Molinero,14,1030100067004,4,778,721,57,34,214,7,408,663,18,40,,,8,0,16,0
10301,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067,Unidad Educativa Molinero,Molinero,14,1030100067005,5,880,809,71,46,162,152,294,654,105,50,,,8,4,16,7
10301,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067,Unidad Educativa Molinero,Molinero,14,1030100067006,6,341,339,2,110,101,14,104,329,1,9,,,8,1,16,24
10301,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067,Unidad Educativa Molinero,Molinero,14,1030100067007,7,606,605,1,174,35,126,203,538,7,60,,,8,4,16,3
10301,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067,Unidad Educativa Molinero,Molinero,14,1030100067008,8,601,564,37,108,27,56,354,545,0,19,,,8,3,16,46
10301,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067,Unidad Educativa Molinero,Molinero,14,1030100067009,9,405,390,15,114,10,43,211,378,6,6,,,8,4,16,22
10301,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067,Unidad Educativa Molinero,Molinero,14,1030100067010,10,176,169,7,24,13,36,76,149,20,0,,,8,2,16,4
10301,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067,Unidad Educativa Molinero,Molinero,14,1030100067011,11,959,873,86,135,95,158,363,751,35,87,,,8,3,16,40
10301,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067,Unidad Educativa Molinero,Molinero,14,1030100067012,12,440,369,71,13,57,32,193,295,60,14,,,8,2,16,42
10301,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067,Unidad Educativa Molinero,Molinero,14,1030100067013,13,621,619,2,60,28,90,360,538,39,42,,,8,4,16,5
10301,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067,Unidad Educativa Molinero,Molinero,14,1030100067014,14,583,455,128,109,49,24,175,357,51,47,,,8,1,16,32
10302,Chuquisaca,Zud��ez,Presto,1030200081,Colegio Pio XII,25 de Mayo entre Punata,6,1030200081001,1,781,766,15,89,113,93,297,592,119,55,,,8,2,16,16
10302,Chuquisaca,Zud��ez,Presto,1030200081,Colegio Pio XII,25 de Mayo entre Punata,6,1030200081002,2,757,608,149,126,92,51,191,460,109,39,,,8,1,16,52
10302,Chuquisaca,Zud��ez,Presto,1030200081,Colegio Pio XII,25 de Mayo entre Punata,6,1030200081003,3,347,303,44,62,35,54,106,257,33,13,,,8,4,16,30
10302,Chuquisaca,Zud��ez,Presto,1030200081,Colegio Pio XII,25 de Mayo entre Punata,6,1030200081004,4,459,426,33,104,84,9,176,373,13,40,,,8,0,16,1
10302,Chuquisaca,Zud��ez,Presto,1030200081,Colegio Pio XII,25 de Mayo entre Punata,6,1030200081005,5,468,372,96,32,80,5,166,283,73,16,,,8,2,16,44
10302,Chuquisaca,Zud��ez,Presto,1030200081,Colegio Pio XII,25 de Mayo entre Punata,6,1030200081006,6,80,66,14,12,4,6,26,48,11,7,Mesa en lugar distinto: Funcionamiento de la mesa de sufragio en un recinto diferente al autorizado por la autoridad electoral.,,8,2,16,41
10302,Chuquisaca,Zud��ez,Presto,1030200087,Escuela Mixta Dr. Martin Cardenas,Mina Asientos,10,1030200087001,1,45,37,8,5,3,3,24,35,2,0,,,8,2,16,30
10302,Chuquisaca,Zud��ez,Presto,1030200087,Escuela Mixta Dr. Martin Cardenas,Mina Asientos,10,1030200087002,2,236,213,23,3,44,33,110,190,23,0,,,8,1,16,52
10302,Chuquisaca,Zud��ez,Presto,1030200087,Escuela Mixta Dr. Martin Cardenas,Mina Asientos,10,1030200087003,3,788,651,137,161,101,70,176,508,125,18,,,8,2,16,57
10302,Chuquisaca,Zud��ez,Presto,1030200087,Escuela Mixta Dr. Martin Cardenas,Mina Asientos,10,1030200087004,4,501,483,18,15,75,65,274,429,32,22,,,8,2,16,11
10302,Chuquisaca,Zud��ez,Presto,1030200087,Escuela Mixta Dr. Martin Cardenas,Mina Asientos,10,1030200087005,5,257,226,31,0,12,12,154,178,33,15,,,8,1,16,43
10302,Chuquisaca,Zud��ez,Presto,1030200087,Escuela Mixta Dr. Martin Cardenas,Mina Asientos,10,1030200087006,6,734,607,127,126,37,132,239,534,2,71,,,8,4,16,54
10302,Chuquisaca,Zud��ez,Presto,1030200087,Escuela Mixta Dr. Martin Cardenas,Mina Asientos,10,1030200087007,7,276,224,52,24,60,27,72,183,26,15,,,8,2,16,31
10302,Chuquisaca,Zud��ez,Presto,1030200087,Escuela Mixta Dr. Martin Cardenas,Mina Asientos,10,1030200087008,8,235,233,2,67,2,54,107,230,0,3,,,8,2,16,3
10302,Chuquisaca,Zud��ez,Presto,1030200087,Escuela Mixta Dr. Martin Cardenas,Mina Asientos,10,1030200087009,9,752,721,31,103,165,21,259,548,116,57,,,8,0,16,8
10302,Chuquisaca,Zud��ez,Presto,1030200087,Escuela Mixta Dr. Martin Cardenas,Mina Asientos,10,1030200087010,10,37,37,0,6,3,3,22,34,3,0,,,8,4,16,58
10303,Chuquisaca,Zud��ez,Villa Mojocoya,1030300097,Escuela Ladislao Cabrera,Chilicchi,18,1030300097001,1,10,10,0,2,1,1,5,9,1,0,,,8,0,16,38
10303,Chuquisaca,Zud��ez,Villa Mojocoya,1030300097,Escuela Ladislao Cabrera,Chilicchi,18,1030300097002,2,702,631,71,95,3,101,370,569,22,40,,,8,1,16,40
10303,Chuquisaca,Zud��ez,Villa Mojocoya,1030300097,Escuela Ladislao Cabrera,Chilicchi,18,1030300097003,3,582,510,72,132,38,16,252,438,44,28,,,8,0,16,7
10303,Chuquisaca,Zud��ez,Villa Mojocoya,1030300097,Escuela Ladislao Cabrera,Chilicchi,18,1030300097004,4,745,593,152,141,152,17,185,495,78,20,,,8,1,16,22
10303,Chuquisaca,Zud��ez,Villa Mojocoya,1030300097,Escuela Ladislao Cabrera,Chilicchi,18,1030300097005,5,706,618,88,4,72,69,353,498,65,55,,,8,1,16,51
10303,Chuquisaca,Zud��ez,Villa Mojocoya,1030300097,Escuela Ladislao Cabrera,Chilicchi,18,1030300097006,6,553,546,7,79,20,8,327,434,77,35,,,8,1,16,47
10303,Chuquisaca,Zud��ez,Villa Mojocoya,1030300097,Escuela Ladislao Cabrera,Chilicchi,18,1030300097007,7,248,207,41,7,22,25,147,201,5,1,,,8,3,16,7
10303,Chuquisaca,Zud��ez,Villa Mojocoya,1030300097,Escuela Ladislao Cabrera,Chilicchi,18,1030300097008,8,421,405,16,112,82,73,92,359,26,20,,Jirado 90 gados derecha,8,4,16,48
10303,Chuquisaca,Zud��ez,Villa Mojocoya,1030300097,Escuela Ladislao Cabrera,Chilicchi,18,1030300097009,9,153,129,24,31,35,4,34,104,15,10,,,8,1,16,21
10303,Chuquisaca,Zud��ez,Villa Mojocoya,1030300097,Escuela Ladislao Cabrera,Chilicchi,18,1030300097010,10,674,534,140,118,123,50,172,463,43,28,,Jirado 180,8,2,16,15
10303,Chuquisaca,Zud��ez,Villa Mojocoya,1030300097,Escuela Ladislao Cabrera,Chilicchi,18,1030300097011,11,233,190,43,39,53,30,59,181,2,7,,,8,0,16,53
10303,Chuquisaca,Zud��ez,Villa Mojocoya,1030300097,Escuela Ladislao Cabrera,Chilicchi,18,1030300097012,12,257,220,37,62,60,43,23,188,13,19,,Jirado 270,8,2,16,36
10303,Chuquisaca,Zud��ez,Villa Mojocoya,1030300097,Escuela Ladislao Cabrera,Chilicchi,18,1030300097013,13,223,198,25,26,59,39,56,180,15,3,,,8,0,16,56
10303,Chuquisaca,Zud��ez,Villa Mojocoya,1030300097,Escuela Ladislao Cabrera,Chilicchi,18,1030300097014,14,721,595,126,48,20,52,301,421,113,61,,Comprimido,8,1,16,20
10303,Chuquisaca,Zud��ez,Villa Mojocoya,1030300097,Escuela Ladislao Cabrera,Chilicchi,18,1030300097015,15,457,439,18,124,121,70,90,405,29,5,,,8,3,16,1
10303,Chuquisaca,Zud��ez,Villa Mojocoya,1030300097,Escuela Ladislao Cabrera,Chilicchi,18,1030300097016,16,859,857,2,85,240,2,426,753,80,24,,Anulado,8,0,16,31
10303,Chuquisaca,Zud��ez,Villa Mojocoya,1030300097,Escuela Ladislao Cabrera,Chilicchi,18,1030300097017,17,331,309,22,0,18,13,228,259,48,2,,,8,0,16,58
10303,Chuquisaca,Zud��ez,Villa Mojocoya,1030300097,Escuela Ladislao Cabrera,Chilicchi,18,1030300097018,18,366,328,38,16,55,11,204,286,22,20,Uso de formularios no oficiales: Llenado de resultados en documentos o formatos no aprobados por el Tribunal Supremo Electoral.,,8,3,16,28
10304,Chuquisaca,Zud��ez,Icla,1030400115,U.E. Joso Carlos Carrillo,Comunidad Tirani?Final Av. Atahuallpa segunda circunvalacion,6,1030400115001,1,718,711,7,99,98,98,326,621,77,13,,,8,3,16,53
10304,Chuquisaca,Zud��ez,Icla,1030400115,U.E. Joso Carlos Carrillo,Comunidad Tirani?Final Av. Atahuallpa segunda circunvalacion,6,1030400115002,2,266,228,38,33,30,36,84,183,30,15,,Datos Borrados,8,0,16,52
10304,Chuquisaca,Zud��ez,Icla,1030400115,U.E. Joso Carlos Carrillo,Comunidad Tirani?Final Av. Atahuallpa segunda circunvalacion,6,1030400115003,3,323,271,52,6,1,21,165,193,47,31,,,8,0,16,7
10304,Chuquisaca,Zud��ez,Icla,1030400115,U.E. Joso Carlos Carrillo,Comunidad Tirani?Final Av. Atahuallpa segunda circunvalacion,6,1030400115004,4,893,718,175,95,4,88,372,559,135,24,,Cambiado 4 y 8 ,8,3,16,50
10304,Chuquisaca,Zud��ez,Icla,1030400115,U.E. Joso Carlos Carrillo,Comunidad Tirani?Final Av. Atahuallpa segunda circunvalacion,6,1030400115005,5,699,677,22,183,18,92,259,552,64,61,,,8,4,16,35
10304,Chuquisaca,Zud��ez,Icla,1030400115,U.E. Joso Carlos Carrillo,Comunidad Tirani?Final Av. Atahuallpa segunda circunvalacion,6,1030400115006,6,992,823,169,170,84,83,283,620,117,86,,Duplicado de  1030400121002,8,3,16,57
10304,Chuquisaca,Zud��ez,Icla,1030400121,U.E. Carmen Rosa Salguero,Calle Miguel Mercado Moreira esq. Circunvalacion,4,1030400121001,1,364,297,67,57,51,37,97,242,36,19,,,8,2,16,56
10304,Chuquisaca,Zud��ez,Icla,1030400121,U.E. Carmen Rosa Salguero,Calle Miguel Mercado Moreira esq. Circunvalacion,4,1030400121002,2,745,610,135,161,34,26,264,485,94,31,,Conado,8,0,16,52
10304,Chuquisaca,Zud��ez,Icla,1030400121,U.E. Carmen Rosa Salguero,Calle Miguel Mercado Moreira esq. Circunvalacion,4,1030400121003,3,912,743,169,100,189,71,336,696,20,27,,,8,0,16,18
10304,Chuquisaca,Zud��ez,Icla,1030400121,U.E. Carmen Rosa Salguero,Calle Miguel Mercado Moreira esq. Circunvalacion,4,1030400121004,4,847,709,138,209,163,4,239,615,21,73,,Mesa que no existe 41,8,3,16,13
10401,Chuquisaca,Tomina,Padilla,1040100125,Unidad Educativa Paracti (Villa Tunari),Paracti(Villa Tunari),7,1040100125001,1,542,451,91,22,128,79,169,398,0,53,,,8,2,16,18
10401,Chuquisaca,Tomina,Padilla,1040100125,Unidad Educativa Paracti (Villa Tunari),Paracti(Villa Tunari),7,1040100125002,2,97,97,0,13,9,14,56,92,0,5,,,8,3,16,17
10401,Chuquisaca,Tomina,Padilla,1040100125,Unidad Educativa Paracti (Villa Tunari),Paracti(Villa Tunari),7,1040100125003,3,13,12,1,2,2,1,6,11,1,0,,,8,2,16,34
10401,Chuquisaca,Tomina,Padilla,1040100125,Unidad Educativa Paracti (Villa Tunari),Paracti(Villa Tunari),7,1040100125004,4,645,537,108,12,38,112,314,476,18,43,,,8,0,16,46
10401,Chuquisaca,Tomina,Padilla,1040100125,Unidad Educativa Paracti (Villa Tunari),Paracti(Villa Tunari),7,1040100125005,5,126,125,1,19,26,10,63,118,3,4,,,8,1,16,14
10401,Chuquisaca,Tomina,Padilla,1040100125,Unidad Educativa Paracti (Villa Tunari),Paracti(Villa Tunari),7,1040100125006,6,733,638,95,188,147,77,152,564,18,56,,,8,0,16,39
10401,Chuquisaca,Tomina,Padilla,1040100125,Unidad Educativa Paracti (Villa Tunari),Paracti(Villa Tunari),7,1040100125007,7,48,41,7,0,7,2,27,36,5,0,,,9,3,16,23
